grupo,item,n,media,mediana,ic95_med_low,ic95_med_high,shapiro_p,wilcoxon_stat,p_raw,r_rank_biserial,p_holm,signif_holm,efeito
Exp1 (C) [exploratório],Q01,16,4.062,4.0,3.5,5.0,0.012639478183362411,87.0,0.0014209656420939745,0.912,0.015973560773208138,True,grande
Exp1 (C) [exploratório],Q02,16,4.375,5.0,4.0,5.0,0.0003903802718129249,91.0,0.0004598171861514206,1.0,0.00735707497842273,True,grande
Exp1 (C) [exploratório],Q03,16,3.188,3.0,2.0,5.0,0.02710019717674921,48.0,0.23342713541136273,0.231,0.8871694142043072,False,pequeno
Exp1 (C) [exploratório],Q04,16,4.5,5.0,4.0,5.0,0.0003553012800474021,120.0,0.0002161554510011989,1.0,0.004323109020023978,True,grande
Exp1 (C) [exploratório],Q05,16,4.5,5.0,4.0,5.0,4.71981432027196e-06,125.5,0.0008674355543227118,0.846,0.013011533314840677,True,grande
Exp1 (C) [exploratório],Q06,16,3.938,4.0,3.5,5.0,0.0009342672996289047,85.0,0.017238418752207697,0.619,0.08619209376103848,False,grande
Exp1 (C) [exploratório],Q07,16,3.938,4.5,3.0,5.0,0.002210376306936189,89.0,0.008781842875551341,0.695,0.06147290012885939,False,grande
Exp1 (C) [exploratório],Q08,16,4.562,5.0,4.0,5.0,4.304278808814038e-05,105.0,0.0002377590686903973,1.0,0.0045174223051175485,True,grande
Exp1 (C) [exploratório],Q09,16,4.562,5.0,4.0,5.0,4.304278808814038e-05,105.0,0.0002377590686903973,1.0,0.0045174223051175485,True,grande
Exp1 (C) [exploratório],Q10,16,4.0,4.0,3.5,5.0,0.01871045027349578,86.5,0.0015339645849759386,0.901,0.015973560773208138,True,grande
Exp1 (C) [exploratório],Q11,16,4.188,5.0,3.5,5.0,0.0004260470419501145,82.5,0.003162300326009576,0.813,0.028460702934086184,True,grande
Exp1 (C) [exploratório],Q12,16,3.875,4.0,3.0,5.0,0.012243916720265825,77.5,0.010690845581560322,0.703,0.06414507348936194,False,grande
Exp1 (C) [exploratório],Q13,16,3.25,3.0,2.0,4.0,0.1004142099272512,48.5,0.2217923535510768,0.244,0.8871694142043072,False,pequeno
Exp1 (C) [exploratório],Q14,16,4.562,5.0,4.0,5.0,0.00014891552620053576,120.0,0.00019820711303826554,1.0,0.004162349373803576,True,grande
Exp1 (C) [exploratório],Q15,16,4.125,4.0,3.5,5.0,0.006274602859888504,87.5,0.00126264982510797,0.923,0.015973560773208138,True,grande
Exp1 (C) [exploratório],Q16,16,4.438,5.0,4.0,5.0,0.00045740809252172994,105.0,0.00031814957062010254,1.0,0.005408542700541743,True,grande
Exp1 (C) [exploratório],Q17,16,4.125,4.0,3.0,5.0,0.0011615293022501005,66.0,0.0012039422000035016,1.0,0.015973560773208138,True,grande
Exp1 (C) [exploratório],Q18,16,4.0,4.0,3.5,5.0,0.003661728180718304,81.0,0.005342014225436187,0.78,0.042736113803489496,True,grande
Exp1 (C) [exploratório],Q19,16,4.75,5.0,5.0,5.0,2.4209132147208664e-06,120.0,0.00011207201646585013,1.0,0.002465584362248703,True,grande
Exp1 (C) [exploratório],Q20,16,2.562,2.0,2.0,2.0,1.5754910656875774e-06,45.0,0.8979510147529846,-0.338,1.0,False,médio
Exp1 (C) [exploratório],Q21,16,1.688,1.0,1.0,1.0,2.176471460035736e-06,19.0,0.9975255616318526,-0.721,1.0,False,grande
Exp1 (C) [exploratório],Q22,16,4.375,5.0,4.0,5.0,1.212916993192436e-05,84.0,0.0011409686266577242,0.846,0.015973560773208138,True,grande
