item,n_A,n_B,mediana_A,mediana_B,U,p_raw,p_holm,difere
Q01,34,40,4.0,4.0,613.0,0.4564138964372785,1.0,False
Q02,34,40,4.0,4.0,656.0,0.7915941967253636,1.0,False
Q03,34,40,5.0,4.0,679.0,0.9953420293893983,1.0,False
Q04,34,40,4.0,4.0,614.0,0.46096497297562544,1.0,False
Q05,34,40,4.0,4.0,801.5,0.16286131940278548,1.0,False
Q06,34,40,5.0,4.0,909.0,0.0050786262517133265,0.08633664627912654,False
Q07,34,40,4.0,4.0,942.0,0.0028764043542348215,0.05465168273046161,False
Q08,34,40,4.0,4.0,767.0,0.3246240308151518,1.0,False
Q09,34,40,3.0,3.0,839.5,0.06903712634069019,0.8974826424289725,False
Q10,34,40,5.0,4.0,776.0,0.2655556814807587,1.0,False
Q11,34,40,3.5,4.0,568.0,0.21246235225131038,1.0,False
Q12,34,40,4.0,4.0,750.0,0.4274385588364441,1.0,False
Q13,34,40,2.5,3.0,425.5,0.004467460793661674,0.08041429428591013,False
Q14,34,40,4.0,4.0,814.0,0.1230477974694566,1.0,False
Q15,34,40,4.0,4.0,647.0,0.7108757665479742,1.0,False
Q16,34,40,3.0,3.0,486.5,0.029910532641206734,0.448657989618101,False
Q17,34,40,4.0,3.5,654.0,0.7763464538653984,1.0,False
Q18,34,40,5.0,4.0,883.0,0.015711941360218782,0.2513910617635005,False
Q19,34,40,5.0,3.0,1006.5,0.00024621345760342315,0.004924269152068463,True
Q20,34,40,1.0,1.0,561.5,0.06082343684764582,0.8515281158670416,False
