,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-1.2680020887741346,0.023205147722911944,-54.64313797589636,0.0,-1.3134833425669736,-1.2225208349812955
"C(turno, Treatment('diurno'))[T.noturno]",0.4535142941685716,0.05843591797768671,7.760882516498541,8.434041861477197e-15,0.33898199952876895,0.5680465888083742
C(ano)[T.2010],0.4187072905997218,0.11901677378746633,3.5180527691619874,0.0004347259065991061,0.185438700420137,0.6519758807793066
C(ano)[T.2011],0.13895537503902,0.10716629417662052,1.2966332008271926,0.19475742321710288,-0.07108670190378075,0.34899745198182075
C(ano)[T.2012],0.3714040691028244,0.219877958292835,1.6891373377598218,0.09119311399834691,-0.059548810145332254,0.8023569483509811
C(ano)[T.2013],0.2110816723742454,0.21428904738520627,0.9850324827605619,0.3246081156862737,-0.2089171427821559,0.6310804875306467
C(ano)[T.2014],0.2395283963867266,0.13731520907234174,1.744369017859747,0.08109476383793218,-0.029604467924650907,0.5086612606981041
C(ano)[T.2015],0.20324572529590235,0.14157958009104535,1.4355581868882608,0.1511280999426168,-0.07424515262885062,0.4807366032206553
C(ano)[T.2016],0.08802307435972488,0.23818403452188022,0.3695590871001005,0.7117110399066233,-0.37880905499560524,0.554855203715055
C(ano)[T.2017],0.13205197580379485,0.24281761861417625,0.543831936732804,0.5865571296095682,-0.34386181149177325,0.6079657630993629
C(ano)[T.2018],0.3147037078228361,0.29374759110201726,1.0713405568440588,0.2840163301777351,-0.26103099128251617,0.8904384069281883
C(ano)[T.2019],0.4639346512171292,0.05168825732091458,8.97562957746319,2.8173588197016077e-19,0.3626275284444978,0.5652417739897605
C(ano)[T.2020],0.6506653210731865,397630.3317468016,1.6363573629174485e-06,0.9999986943757242,-779340.4787191238,779341.7800497658
C(ano)[T.2021],0.40583314673226545,397630.3317468038,1.0206292486527033e-06,0.9999991856556802,-779340.7235513023,779341.5352175959
C(ano)[T.2022],0.1542329819017613,,,,,
C(ano)[T.2023],-0.7403733034871195,,,,,
C(ano)[T.2024],-0.3207966852269355,,,,,
C(ano)[T.2025],0.03818449367921409,,,,,
C(ano)[T.2026],-0.06378307044743595,1053931.66138325,-6.051917100936394e-08,0.9999999517126879,-2065668.1622607042,2065668.0346945631
"C(janela, Treatment('pre'))[T.covid]",-0.3375625635633223,,,,,
"C(janela, Treatment('pre'))[T.pos]",0.4615254477882622,,,,,
