turma,Bloco A: Material Didático [01. Utilizei os materiais do Moodle: slides antigos  e  NotebookLM com frequência ao longo da disciplina.],"Bloco A: Material Didático [02. Ter acesso a diferentes formatos do NotebookLM (slides, vídeos, infográficos, mapas mentais) ajudou no aprendizado.]",Bloco A: Material Didático [03. Preferi utilizar os materiais do NotebookLM em vez dos slides antigos.],Bloco B: Aulas Teóricas (segunda-feira) [04. As aulas teóricas ajudaram na compreensão dos conceitos.],Bloco B: Aulas Teóricas (segunda-feira) [05. Ver soluções de alguns exercícios durante a aula teórica contribuiu para meu aprendizado.],Bloco B: Aulas Teóricas (segunda-feira) [06. O uso de vídeos e slides do NotebookLM facilitou o acompanhamento.],Bloco B: Aulas Teóricas (segunda-feira) [07. As aulas teóricas não foram excessivamente abstratas. ],Bloco C: Aulas Práticas (quarta-feira) [08. As aulas práticas ajudaram a aplicar os conceitos aprendidos.],Bloco C: Aulas Práticas (quarta-feira) [09. Resolver exercícios em aula contribuiu para meu aprendizado.],Bloco C: Aulas Práticas (quarta-feira) [10. As simulações de algoritmos e destaques nos slides do NotebookLM facilitaram a compreensão das soluções.],Bloco C: Aulas Práticas (quarta-feira) [11. A quantidade de exercícios resolvidos por aula prática foi adequada.],Bloco D: Impacto na Aprendizagem e Avaliação [12. Os materiais do NotebookLM ajudaram a resolver as listas de exercícios e a me preparar para as provas.],"Bloco D: Impacto na Aprendizagem e Avaliação [13. Sem o NotebookLM, meu aprendizado teria sido significativamente pior.]",Bloco D: Impacto na Aprendizagem e Avaliação [14. As listas de exercícios e provas refletiram adequadamente o conteúdo trabalhado.],Bloco E: Autopercepção e Recomendação [15. Meu conhecimento em lógica de programação evoluiu significativamente nesta oferta da disciplina.],Bloco E: Autopercepção e Recomendação [16. O uso combinado de teoria (segunda) e prática (quarta) foi eficaz para meu aprendizado.],"Bloco E: Autopercepção e Recomendação [17. Mesmo com o aumento da dificuldade em relação à disciplina de BCC (visto que PI introduziu Vetores e Matrizes), os novos materiais, como o NotebookLM, permitiram-me acompanhar o conteúdo melhor do que nas aulas tradicionais.]",Bloco E: Autopercepção e Recomendação [18. Eu recomendaria o uso de NotebookLM em futuras ofertas da disciplina.],Bloco E: Autopercepção e Recomendação [19. Os feedbacks automáticos das listas de exercícios e das provas da parte teórica (conceitos) ajudaram no meu aprendizado. ],"Bloco F: Verificador de Validade [20. Para fins de verificação, marque a opção '2' nesta linha.]","Bloco F: Verificador de Validade [21. Todas as aulas desta disciplina foram exclusivamente teóricas, sem resolução de exercícios.]",Bloco F: Verificador de Validade [22. Os enunciados de listas e provas teóricas (de conceitos) se encontravam no Moodle da disciplina.]
NB1,4,3,1,5,5,5,5,5,5,4,4,3,1,5,5,5,3,4,5,2,1,5
NA3,4,5,2,5,5,5,4,4,4,4,5,2,2,4,5,4,3,3,5,2,1,5
NA3,5,5,3,3,1,1,1,4,5,2,1,5,3,5,2,3,5,5,3,2,1,5
NB1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,1,5
NA3,2,5,2,5,5,4,5,5,5,4,5,3,3,5,3,5,4,4,5,2,1,5
NA3,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,1,5
NB1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
NA3,3,5,5,4,4,4,5,3,3,4,5,4,5,4,4,3,5,4,5,5,4,5
NB1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,1,1
NA3,4,3,3,4,4,3,3,3,3,3,3,4,2,4,4,4,3,3,5,2,1,3
NB1,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
NA3,4,4,3,4,4,4,2,5,4,4,4,4,3,4,5,5,4,4,4,2,1,3
NA3,3,4,2,4,5,4,5,5,5,4,3,4,2,3,5,4,4,4,5,2,1,3
NA3,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,1,5
NB1,4,4,1,5,5,1,3,5,5,3,5,1,1,5,3,5,3,1,5,2,1,5
NA3,5,3,2,5,5,3,2,5,5,3,3,3,3,5,4,4,3,3,5,2,1,5
