Turma,Você trabalha?,Quantas horas por dia você pode acessar a internet para estudo?,"Você já utilizou alguma linguagem de programação, qual(is)?",Qual Bacharelado Interdisciplinar você ingressou?,Quando você ingressou na instituição?
B1,Não,Mais que 4 horas por dia,"Python, CPP (C++)",BCT,2025.0
B1,Não,4,"Java, JavaScript, Python",BCT,2025.0
B1,Não,Mais que 4 horas por dia,"Java, Python, C",BCT,2023.0
B1,Não,Mais que 4 horas por dia,"JavaScript, Python",BCT,2025.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Sim,2,"Python, C, CPP (C++), R",BCT,2025.0
B1,Não,Mais que 4 horas por dia,"Java, JavaScript, Python, R",BCT,2024.0
B1,Não,4,Python,BCT,2025.0
B1,Não,3,Python,BCT,2025.0
B1,Não,2,Python,BCT,2025.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Sim,Mais que 4 horas por dia,"Python, C",BCT,2025.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Sim,3,"Java, JavaScript, Python, HTML,CSS,SQL,PHP",BCT,2025.0
B1,Não,4,Python,BCT,2025.0
B1,Não,Mais que 4 horas por dia,"Python, C, CPP (C++)",BCT,2025.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Sim,3,Python,BCT,2025.0
B1,Não,3,"Java, Python, C, CPP (C++)",BCT,2025.0
B1,Não,2,Python,BCT,2025.0
B1,Não,3,Python,BCT,2025.0
B1,Não,2,Python,BCT,2025.0
B1,Não,Mais que 4 horas por dia,"JavaScript, Python, C#, TypeScript",BCT,2025.0
B1,Não,2,"Java, Python, CPP (C++), R",BCT,2025.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Sim,4,Python,BCT,2025.0
B1,Não,Mais que 4 horas por dia,"JavaScript, Python, CPP (C++), C#, PHP, RUBY",BCT,2025.0
B1,Não,2,Python,BCT,2023.0
B1,Não,Mais que 4 horas por dia,Python,BCT,2025.0
B1,Sim,2,Python,BCT,2025.0
B1,Não,3,Python,BCT,2025.0
B1,Não,4,Python,BCT,2025.0
B1,Não,3,Python,BCT,2024.0
B1,Não,3,Python,BCT,2025.0
B1,Sim,4,"Java, JavaScript, Python, C, php, html, css, mysql",BCT,2025.0
B1,Não,3,"JavaScript, Python",BCT,2025.0
nan,,,,,
nan,7,,,Python,
nan,0.1842105263,,,Java,
nan,,,,JavaScript,
