quadrimestre,turno,n_turmas,n_avaliados,n_aprovados,n_reprovados,taxa_reprov_pool,taxa_reprov_media_turmas,taxa_reprov_dp_turmas,taxa_reprov_min_turmas,taxa_reprov_max_turmas
2009.3,diurno,23,640,492,148,0.23125,0.23625774032686983,0.15937296518655766,0.0,0.5357142857142857
2009.3,noturno,11,210,153,57,0.2714285714285714,0.2657045919934599,0.12605873778600782,0.14285714285714285,0.55
2010.1,diurno,2,53,44,9,0.16981132075471697,0.1692857142857143,0.01313198307917874,0.16,0.17857142857142858
2010.1,noturno,2,52,30,22,0.4230769230769231,0.42307692307692313,0.05439282932204214,0.38461538461538464,0.46153846153846156
2010.2,diurno,6,147,95,52,0.35374149659863946,0.37039167803873685,0.20027689462643136,0.1111111111111111,0.6153846153846154
2010.2,noturno,3,70,44,26,0.37142857142857144,0.3715811965811966,0.07016327503238269,0.2916666666666667,0.4230769230769231
2011.1,diurno,24,617,481,136,0.22042139384116693,0.22160941983983587,0.21411989429009765,0.0,0.6521739130434783
2011.1,noturno,23,564,380,184,0.3262411347517731,0.3259760245927456,0.21720832300018655,0.0,0.875
2011.3,diurno,7,175,121,54,0.30857142857142855,0.2966906146216491,0.14868948605034626,0.0,0.4444444444444444
2011.3,noturno,4,69,36,33,0.4782608695652174,0.50503663003663,0.1437184439173487,0.38095238095238093,0.6428571428571429
2012.1,diurno,21,536,390,146,0.27238805970149255,0.2723669446543633,0.10885164533002464,0.06666666666666667,0.5
2012.1,noturno,24,667,445,222,0.3328335832083958,0.3323404420134583,0.13136746098665264,0.11538461538461539,0.5666666666666667
2012.3,diurno,4,73,28,45,0.6164383561643836,0.6116117499631432,0.2670510687204153,0.23529411764705882,0.8421052631578947
2012.3,noturno,7,140,61,79,0.5642857142857143,0.547478599881346,0.26105708365158337,0.1,0.7894736842105263
2013.1,diurno,16,475,379,96,0.20210526315789473,0.2215006339175146,0.1266342041541546,0.03571428571428571,0.4666666666666667
2013.1,noturno,23,603,403,200,0.33167495854063017,0.34764128766096153,0.16694132337781725,0.1111111111111111,0.8333333333333334
2013.2,diurno,7,136,80,56,0.4117647058823529,0.49082862089803997,0.2819774582638435,0.12121212121212122,0.9090909090909091
2013.2,noturno,5,77,31,46,0.5974025974025974,0.6464119214119214,0.3152503155956566,0.13636363636363635,0.9230769230769231
2014.2,diurno,20,520,409,111,0.21346153846153845,0.24116260240398174,0.20072323738171183,0.0,0.7777777777777778
2014.2,noturno,17,466,298,168,0.3605150214592275,0.37376897537140946,0.19523228515432453,0.0,0.7272727272727273
2014.3,diurno,7,270,178,92,0.34074074074074073,0.32118822416016807,0.2087395544977704,0.07692307692307693,0.6111111111111112
2014.3,noturno,3,67,38,29,0.43283582089552236,0.431998556998557,0.024799455503291712,0.4090909090909091,0.4583333333333333
2015.1,diurno,23,803,626,177,0.22042341220423411,0.2002121259033414,0.11848179700295357,0.0,0.46875
2015.1,noturno,10,281,188,93,0.3309608540925267,0.33385954183645977,0.13398226263061377,0.125,0.5384615384615384
2015.2,diurno,11,247,164,83,0.3360323886639676,0.3395585398669137,0.10326464275361409,0.09090909090909091,0.5238095238095238
2015.2,noturno,5,145,106,39,0.2689655172413793,0.28688985088985086,0.1521393341713948,0.16666666666666666,0.5454545454545454
2015.3,diurno,6,144,80,64,0.4444444444444444,0.4458333333333333,0.10666605377501931,0.2916666666666667,0.5833333333333334
2016.1,diurno,25,781,632,149,0.19078104993597952,0.1693451462040841,0.12490450363858044,0.0,0.4166666666666667
2016.1,noturno,13,318,240,78,0.24528301886792453,0.2995183658047558,0.2815498141148473,0.0,0.8333333333333334
2016.2,diurno,6,275,212,63,0.2290909090909091,0.2714152867543819,0.10934880926267998,0.15966386554621848,0.4782608695652174
2016.2,noturno,5,122,65,57,0.4672131147540984,0.46366638521437287,0.15169443923963546,0.35294117647058826,0.7
2016.3,diurno,2,244,142,102,0.4180327868852459,0.43097643097643096,0.033331632783204265,0.4074074074074074,0.45454545454545453
2017.1,diurno,23,761,617,144,0.18922470433639949,0.18494882752661784,0.12117124956768721,0.0,0.4117647058823529
2017.1,noturno,19,530,376,154,0.29056603773584905,0.301600084940257,0.18957412819360714,0.034482758620689655,0.6111111111111112
2017.2,diurno,6,280,196,84,0.3,0.34276358992957406,0.08797460605075094,0.16981132075471697,0.41379310344827586
2017.2,noturno,3,77,53,24,0.3116883116883117,0.30745348219032426,0.12833430364993897,0.16,0.3939393939393939
2017.3,diurno,2,153,65,88,0.5751633986928104,0.5824074074074074,0.024879683041748913,0.5648148148148148,0.6
2018.1,diurno,21,687,533,154,0.22416302765647744,0.23174691808357617,0.15539695393020167,0.03571428571428571,0.5769230769230769
2018.1,noturno,17,505,355,150,0.297029702970297,0.3152273986052143,0.17245650272881738,0.0625,0.6666666666666666
2018.2,diurno,7,189,108,81,0.42857142857142855,0.43247863247863244,0.13217242341605928,0.25,0.6
2018.2,noturno,3,66,18,48,0.7272727272727273,0.7542606011808911,0.1620871742245672,0.6296296296296297,0.9375
2018.3,diurno,2,139,74,65,0.4676258992805755,0.4262362637362637,0.11791588356599841,0.34285714285714286,0.5096153846153846
2019.1,diurno,25,747,552,195,0.26104417670682734,0.27538831812864795,0.17893481110545087,0.0,0.6538461538461539
2019.1,noturno,21,593,323,270,0.45531197301854975,0.47369303748614094,0.2200807745827879,0.06666666666666667,0.8055555555555556
