quadrimestre,turma,turno,campus,matriz,docente_id,periodo_ideal,n_A,n_B,n_C,n_D,n_F,n_O,n_incompleto,n_sem_conceito,n_avaliados,n_aprovados,n_reprovados,taxa_reprov
2009.3,,diurno,,pre-2015,,1,0,14,8,0,7,0,0,0,29,22,7,0.2413793103448276
2009.3,,diurno,,pre-2015,,1,1,18,4,0,6,0,0,0,29,23,6,0.20689655172413793
2009.3,,diurno,,pre-2015,,1,0,9,6,0,13,0,0,0,28,15,13,0.4642857142857143
2009.3,,diurno,,pre-2015,,1,0,5,10,0,15,0,0,0,30,15,15,0.5
2009.3,,diurno,,pre-2015,,1,1,8,12,2,6,0,0,0,29,23,6,0.20689655172413793
2009.3,,diurno,,pre-2015,,1,2,5,3,3,15,0,0,0,28,13,15,0.5357142857142857
2009.3,,diurno,,pre-2015,,1,0,3,8,7,8,0,0,0,26,18,8,0.3076923076923077
2009.3,,diurno,,pre-2015,,1,0,2,4,9,10,0,0,0,25,15,10,0.4
2009.3,,diurno,,pre-2015,,1,1,2,6,14,6,0,0,0,29,23,6,0.20689655172413793
2009.3,,diurno,,pre-2015,,1,3,9,13,2,1,0,0,0,28,27,1,0.03571428571428571
2009.3,,diurno,,pre-2015,,1,3,7,10,5,3,0,0,0,28,25,3,0.10714285714285714
2009.3,,diurno,,pre-2015,,1,4,8,11,6,0,0,0,0,29,29,0,0.0
2009.3,,diurno,,pre-2015,,1,2,17,8,0,4,0,0,0,31,27,4,0.12903225806451613
2009.3,,diurno,,pre-2015,,1,1,3,7,0,12,0,0,0,23,11,12,0.5217391304347826
2009.3,,diurno,,pre-2015,,1,4,4,8,0,5,0,0,1,21,16,5,0.23809523809523808
2009.3,,diurno,,pre-2015,,1,5,2,10,0,8,0,0,0,25,17,8,0.32
2009.3,,diurno,,pre-2015,,1,4,8,10,6,2,0,0,0,30,28,2,0.06666666666666667
2009.3,,diurno,,pre-2015,,1,3,9,15,2,1,0,0,0,30,29,1,0.03333333333333333
2009.3,,diurno,,pre-2015,,1,2,8,8,4,6,0,0,0,28,22,6,0.21428571428571427
2009.3,,diurno,,pre-2015,,1,4,2,10,8,3,1,0,0,28,24,4,0.14285714285714285
2009.3,,diurno,,pre-2015,,1,2,6,15,3,2,1,0,0,29,26,3,0.10344827586206896
2009.3,,diurno,,pre-2015,,1,1,4,9,8,4,1,0,0,27,22,5,0.18518518518518517
2009.3,,diurno,,pre-2015,,1,0,10,12,0,8,0,0,0,30,22,8,0.26666666666666666
2009.3,,noturno,,pre-2015,,1,4,5,6,1,3,0,0,0,19,16,3,0.15789473684210525
2009.3,,noturno,,pre-2015,,1,2,1,4,2,7,4,0,0,20,9,11,0.55
2009.3,,noturno,,pre-2015,,1,4,3,8,1,8,0,0,0,24,16,8,0.3333333333333333
2009.3,,noturno,,pre-2015,,1,6,4,1,0,2,0,1,0,13,11,2,0.15384615384615385
2009.3,,noturno,,pre-2015,,1,3,5,2,2,3,0,0,0,15,12,3,0.2
2009.3,,noturno,,pre-2015,,1,3,5,5,1,3,0,0,0,17,14,3,0.17647058823529413
2009.3,,noturno,,pre-2015,,1,5,7,4,2,3,0,0,0,21,18,3,0.14285714285714285
2009.3,,noturno,,pre-2015,,1,2,3,3,2,7,0,0,0,17,10,7,0.4117647058823529
2009.3,,noturno,,pre-2015,,1,3,5,7,0,5,0,0,0,20,15,5,0.25
