run,snapshot,metric,value
4,before,input_cache_hit_tokens,564864.0
4,before,input_cache_miss_tokens,89020.0
4,before,output_tokens,141526.0
4,before,request_count,326.0
4,before,cost_usd_month_to_date,0.10018271200000001
4,after,input_cache_hit_tokens,666816.0
4,after,input_cache_miss_tokens,119312.0
4,after,output_tokens,172547.0
4,after,request_count,395.0
4,after,cost_usd_month_to_date,0.12454794799999999
5,before,input_cache_hit_tokens,668224.0
5,before,input_cache_miss_tokens,122365.0
5,before,output_tokens,173643.0
5,before,request_count,397.0
5,before,cost_usd_month_to_date,0.12590253199999998
5,after,input_cache_hit_tokens,755904.0
5,after,input_cache_miss_tokens,159115.0
5,after,output_tokens,202844.0
5,after,request_count,462.0
5,after,cost_usd_month_to_date,0.150911992
