respondent_id,group,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
R01,analysed,3,5,5,5,4,5,4,5,4,5,4,5,1,4,5,1,5,5,1,1
R02,analysed,2,5,5,4,5,5,5,4,3,5,2,5,1,5,4,2,2,5,5,1
R03,analysed,5,5,5,4,3,5,4,5,5,4,5,3,3,4,5,5,5,5,5,1
R04,analysed,3,4,2,4,4,5,5,5,3,5,4,4,3,4,4,3,4,3,4,1
R05,analysed,5,5,5,5,5,5,5,5,1,4,5,5,4,5,5,5,5,5,5,1
R06,analysed,2,3,5,4,5,3,4,4,3,5,2,5,1,4,4,2,2,4,4,1
R07,analysed,3,4,5,4,3,5,5,5,4,5,3,4,5,4,5,5,3,5,5,1
R08,analysed,4,5,5,5,5,5,5,2,2,4,4,5,2,4,4,2,5,3,5,1
R09,analysed,4,5,3,5,5,5,4,4,3,5,5,5,4,5,5,4,5,5,5,1
R10,analysed,4,3,5,3,5,5,5,5,3,4,2,5,3,5,4,3,4,4,4,1
R11,analysed,4,5,2,4,5,5,2,2,3,5,3,5,2,4,5,3,4,5,5,1
R12,analysed,5,3,5,5,4,5,5,4,4,4,5,5,4,5,5,4,4,5,5,1
R13,analysed,5,4,5,3,3,5,5,5,5,5,4,4,4,5,5,3,5,5,4,4
R14,analysed,4,3,3,3,5,5,4,5,2,5,3,4,2,4,3,2,3,4,5,1
R15,analysed,1,2,4,1,2,5,4,5,2,2,1,2,1,5,1,1,1,3,2,1
R16,analysed,3,3,3,3,5,4,4,3,3,5,3,4,3,4,4,3,3,5,5,1
R17,analysed,2,1,5,3,5,5,4,3,3,4,1,4,1,5,1,1,1,5,1,1
R18,analysed,1,4,4,1,4,5,4,4,4,5,1,3,1,5,1,1,1,5,5,1
R19,analysed,4,4,3,4,4,4,3,4,3,4,4,4,3,4,5,3,4,3,1,1
R20,analysed,2,3,2,2,4,4,5,3,5,5,3,2,1,4,3,1,2,5,5,1
R21,analysed,2,2,1,2,4,5,3,4,3,3,2,3,2,3,2,1,1,5,5,1
R22,analysed,5,4,5,4,4,5,3,2,3,4,4,4,3,5,4,4,4,5,5,1
R23,analysed,4,5,3,4,4,4,4,5,5,5,4,2,4,3,5,4,3,5,5,1
R24,analysed,3,2,1,2,4,5,5,3,1,2,1,3,1,3,1,1,1,5,5,1
R25,analysed,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,1
R26,analysed,3,2,2,4,5,4,4,4,3,2,3,4,3,4,3,3,2,4,3,4
R27,analysed,5,4,5,5,4,5,5,4,3,4,5,5,3,5,5,3,4,5,5,1
R28,analysed,2,2,4,2,5,5,3,4,3,5,2,5,2,3,2,2,2,5,5,1
R29,analysed,2,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,1
R30,analysed,4,2,5,3,4,4,5,5,2,1,1,3,1,4,3,1,3,5,5,1
R31,comparison,5,5,5,5,5,5,4,5,3,5,5,5,3,5,5,3,4,4,1,1
R32,comparison,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,5,1,1
R33,comparison,4,5,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,1
R34,comparison,3,3,3,3,3,4,3,3,2,4,3,2,3,2,3,2,1,3,3,1
R35,comparison,5,4,5,4,5,5,3,5,1,5,5,5,3,5,5,3,5,5,1,1
R36,comparison,3,3,5,2,3,3,2,5,2,3,4,2,4,3,5,5,4,5,4,1
R37,comparison,5,3,5,5,5,5,5,5,3,5,3,5,2,5,4,2,5,5,3,1
R38,comparison,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R39,comparison,4,5,5,4,4,5,4,4,4,4,4,4,3,4,4,4,5,5,4,2
R40,comparison,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R41,comparison,1,5,5,3,3,3,1,5,3,3,3,1,3,3,5,3,3,5,3,3
R42,comparison,4,4,3,4,4,5,3,2,3,5,3,4,3,3,5,4,3,1,3,1
R43,comparison,4,4,3,2,2,3,1,3,1,5,3,3,2,3,1,1,1,3,3,1
R44,comparison,3,1,5,4,4,5,3,4,1,3,1,4,3,5,3,3,3,4,3,1
R45,comparison,4,4,5,4,5,4,4,4,2,4,5,4,2,3,5,4,4,5,1,1
R46,comparison,4,3,5,3,5,4,3,4,3,4,3,3,3,4,3,3,3,5,3,1
R47,comparison,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R48,comparison,5,5,5,5,5,5,4,3,3,5,5,5,5,5,5,5,4,5,5,1
R49,comparison,3,3,4,3,4,2,4,4,2,4,4,4,4,4,4,4,4,3,3,1
R50,comparison,3,4,2,4,2,4,2,4,4,5,3,4,3,4,4,4,3,4,4,1
R51,comparison,3,5,3,5,4,5,4,4,3,5,4,4,2,4,3,3,2,5,5,1
R52,comparison,3,2,1,3,4,5,2,5,4,5,3,3,3,4,3,3,3,4,5,1
R53,comparison,2,3,2,2,2,2,3,3,2,3,2,2,3,2,3,3,3,1,1,3
R54,comparison,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
R55,comparison,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R56,comparison,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R57,comparison,5,3,2,5,5,4,4,5,1,5,4,2,3,3,3,1,1,4,4,1
R58,comparison,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,1,1
R59,comparison,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,1,1
